MODEL,CONSTRUCTION_LEVEL,DATE END,REMARKS,NQ,COST CENTER,TYPE_AUDIT_DESC,PART_DESC,DEF_DESC,Cluster,REMARKS_Column1_Similarity
RWD,Serie,10-Aug-23,Top of front left seat base scratched.,1,TR4ST8,CPA,"Seat base, front seat, left",Kratzer,Top of front left seat base scratched.,1
RWD,Serie,10-Aug-23,Right side front seat trim is scratched on the right side.,1,TR4ST8,CPA,"Front seat, right",Kratzer,Right side front seat trim is scratched on the right side.,1
RWD,Serie,9-Aug-23,Bottom of inner left sidewall panel scratched.,1,TR3ST1,CPA,"Panel, sidewall, left",Kratzer,Bottom of inner left sidewall panel scratched.,1
RWD,Serie,16-Aug-23,Long scratch on left side of steering column cover.,3,TR4ST9,CPA,Instrument panel,Kratzer,Long scratch on left side of steering column cover.,1
RWD,Serie,16-Aug-23,Fuse box cover on front right seat box scratched.,3,TR3ST7,CPA,"Cover, fuse box",Kratzer,Fuse box cover on front right seat box scratched.,1
RWD,Serie,15-Aug-23,E-brake cover is scratched at the top.,1,TR3ST3,CPA,"Cover, actuator, parking brake",Kratzer,E-brake cover is scratched at the top.,1
RWD,Serie,14-Aug-23,Bottom of inner left sidewall panel scratched.,1,TR3ST4,CPA,"Panel, sidewall, left",Kratzer,Bottom of inner left sidewall panel scratched.,1
RWD,Serie,14-Aug-23,Front right instrument panel has a deep scratch near the glove box.,3,PACST3,CPA,Instrument panel,Kratzer,Front right instrument panel has a deep scratch near the glove box.,1
RWD,Serie,14-Aug-23,Long scratch on front inside right door panel.,3,FDPA3,CPA,"Door trim, front door, right",Kratzer,Long scratch on front inside right door panel.,1
RWD,Serie,10-Aug-23,Left side of rear bumper step scratched.,1,TR4ST6,CPA,"Plastic trim, rear bumper",Kratzer,Left side of rear bumper step scratched.,1
RWD,Serie,7-Aug-23,Center of outer left B-pillar scratched.,1,,CPA,"B-pillar, left",Kratzer,Center of outer left B-pillar scratched.,1
RWD,Serie,7-Aug-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,7-Aug-23,Scratches on firewall near right windshield wiper.,3,TR4ST3,CPA,Firewall,Kratzer,Scratches on firewall near right windshield wiper.,1
RWD,Serie,4-Aug-23,E-brake cover is scratched at the top.,1,TR3ST3,CPA,"Cover, actuator, parking brake",Kratzer,E-brake cover is scratched at the top.,1
RWD,Serie,4-Aug-23,Instrument panel scratched on left side above outer left air vent.,3,PACST2,CPA,Instrument panel,Kratzer,Instrument panel scratched on left side above outer left air vent.,1
RWD,Serie,9-Aug-23,Top of front left seat base scratched.,1,TR4ST8,CPA,"Seat base, front seat, left",Kratzer,Top of front left seat base scratched.,1
RWD,Serie,9-Aug-23,Left side of rear bumper step scratched.,1,TR4ST6,CPA,"Plastic trim, rear bumper",Kratzer,Left side of rear bumper step scratched.,1
RWD,Serie,8-Aug-23,Front left instrument cluster scratched near housing glass.,1,PACST3,CPA,Instrument cluster,Kratzer,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,31-Jul-23,Instrument cluster scratched near steering wheel.,1,PACST2,CPA,Instrument cluster,Kratzer,Instrument cluster scratched near steering wheel.,1
RWD,Serie,31-Jul-23,Left sidewall protective strip scratched.,1,TR4ST6,CPA,"Protective strip, sidewall, left",Kratzer,Left sidewall protective strip scratched.,1
RWD,Serie,4-Aug-23,Top of front left seat base scratched.,1,TR4ST8,CPA,"Seat base, front seat, left",Kratzer,Top of front left seat base scratched.,1
RWD,Serie,4-Aug-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,4-Aug-23,Top of front left seat base scratched.,1,TR4ST8,CPA,"Seat base, front seat, left",Kratzer,Top of front left seat base scratched.,1
RWD,Serie,4-Aug-23,Bottom of inside left rear door scratched near lower door lock screws.,3,TR1ST6,CPA,"Rear-end door, left, inside",Kratzer,Bottom of inside left rear door scratched near lower door lock screws.,1
RWD,Serie,3-Aug-23,Scratch on passenger side door panel.,1,FDPA3,CPA,"Trim piece, door panel, front door, right",Kratzer,Scratch on passenger side door panel.,1
RWD,Serie,3-Aug-23,Scratches on the right side cargo area floor.,1,TR1ST3,CPA,Cargo area floor,Kratzer,Scratches on the right side cargo area floor.,1
RWD,Serie,3-Aug-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,3-Aug-23,Lower left front door hinge scratched.,1,TR4ST9,CPA,"Paint, hinge, lower, front door, left",Kratzer,Lower left front door hinge scratched.,1
RWD,Serie,2-Aug-23,Front of left side mirror scratched.,1,FDPA1,CPA,"Outside mirror, left",Kratzer,Front of left side mirror scratched.,1
RWD,Serie,2-Aug-23,Front right B-pillar scratched near striker.,3,TR4ST8,CPA,"B-pillar, right",Kratzer,Front right B-pillar scratched near striker.,1
RWD,Serie,1-Aug-23,"Front upper part of the headliner, the single size slot mounting frame panel is scratched.",1,TR3ST6,CPA,"Stowage compartment, headliner",Kratzer,"Front upper part of the headliner, the single size slot mounting frame panel is scratched.",1
RWD,Serie,1-Aug-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,26-Jul-23,Scratch on left side of radio trim.,1,PACST4,CPA,Radio,Kratzer,Scratch on left side of radio trim.,1
RWD,Serie,26-Jul-23,Deep scratch on front right door protective strip.,3,FDPA2,CPA,"Protective strip, front door, right",Kratzer,Deep scratch on front right door protective strip.,1
RWD,Serie,26-Jul-23,Scratches on the back side of sliding door.,1,TR3ST2,CPA,"Sliding door, right",Kratzer,Scratches on the back side of sliding door.,1
RWD,Serie,26-Jul-23,Front left swivel seat lever scratched.,1,TR4ST8,CPA,"Front seat, left",Kratzer,Front left swivel seat lever scratched.,1
RWD,Serie,26-Jul-23,Scratches on the rear left taillight.,1,TR3ST4,CPA,Taillamp left,Kratzer,Scratches on the rear left taillight.,1
RWD,Serie,18-Jul-23,Scratches on front left side mirror housing.,3,FDPA1,CPA,"Housing, outside mirror, left",Kratzer,Scratches on front left side mirror housing.,1
RWD,Serie,18-Jul-23,Scratches on front left side mirror housing.,3,FDPA1,CPA,"Housing, outside mirror, left",Kratzer,Scratches on front left side mirror housing.,1
RWD,Serie,25-Jul-23,Protective strip on front left door scratched.,1,FDPA2,CPA,"Protective strip, front door, left",Kratzer,Protective strip on front left door scratched.,1
RWD,Serie,24-Jul-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,20-Jul-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,19-Jul-23,Scratch on left side of radiator grill.,3,CHAST6,CPA,Radiator grille,Kratzer,Scratch on left side of radiator grill.,1
RWD,Serie,19-Jul-23,Inner frame of front right door scratched by window seal.,3,FDPA1,CPA,"Front door, right, inside",Kratzer,Inner frame of front right door scratched by window seal.,1
RWD,Serie,19-Jul-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,18-Jul-23,Right side window airbag cover is scratched.,3,TR3ST6,CPA,"Side airbag, front right",Kratzer,Right side window airbag cover is scratched.,1
RWD,Serie,12-Jul-23,Interior roof AC trim panel is scratched.,1,OPTST1,CPA,High roof,Kratzer,Interior roof AC trim panel is scratched.,1
RWD,Serie,12-Jul-23,Scratches on the rear left taillight.,3,TR3ST4,CPA,Taillamp left,Kratzer,Scratches on the rear left taillight.,1
RWD,Serie,17-Jul-23,Left  side D-Pillar trim scratched on the lower section.,1,TR4ST7,CPA,"Trim, D-pillar",Kratzer,Left  side D-Pillar trim scratched on the lower section.,1
RWD,Serie,17-Jul-23,Scratch on protective strip at front right wheel well arch.,1,TR2ST3,CPA,"Protective strip, wheel arch, front, right",Kratzer,Scratch on protective strip at front right wheel well arch.,1
RWD,Serie,14-Jul-23,Scratch on inside of passenger door.,3,TR4ST9,CPA,"Front door, right",Kratzer,Scratch on inside of passenger door.,1
RWD,Serie,27-Jun-23,Front inside left door panel scratched.,3,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,12-Jul-23,Scratch on right outside mirror housing.,1,FDPA1,CPA,"Housing, outside mirror, right",Kratzer,Scratch on right outside mirror housing.,1
RWD,Serie,11-Jul-23,Scratch on upper driver door hinge.,1,TR4ST9,CPA,"Hinge, upper, front door, left",Kratzer,Scratch on upper driver door hinge.,1
RWD,Serie,11-Jul-23,Right side front seat trim is scratched on the right side.,1,TR3ST6,CPA,"Front seat, right",Kratzer,Right side front seat trim is scratched on the right side.,1
RWD,Serie,11-Jul-23,Scratch on hand brake lever.,1,TR3ST3,CPA,"Cover, hand brake lever",Kratzer,Scratch on hand brake lever.,1
RWD,Serie,30-Jun-23,Bottom of interior right side D-pillar scratched.,3,TR1ST3,CPA,D-pillar,Kratzer,Bottom of interior right side D-pillar scratched.,1
RWD,Serie,28-Jun-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,28-Jun-23,Left side of rear bumper step scratched.,1,TR4ST6,CPA,"Plastic trim, rear bumper",Kratzer,Left side of rear bumper step scratched.,1
RWD,Serie,28-Jun-23,Scratch on right outside mirror housing.,3,FDPA1,CPA,"Housing, outside mirror, right",Kratzer,Scratch on right outside mirror housing.,1
RWD,Serie,28-Jun-23,Front right window airbag trim is scratched.,1,TR3ST6,CPA,"Trim, A-pillar right",Kratzer,Front right window airbag trim is scratched.,1
RWD,Serie,27-Jun-23,Left front door scratched below near triangle window.,3,FDPA1,CPA,"Front door, left",Kratzer,Left front door scratched below near triangle window.,1
RWD,Serie,24-Jun-23,Scratch on left side of radio trim.,1,PACST4,CPA,Radio,Kratzer,Scratch on left side of radio trim.,1
RWD,Serie,24-Jun-23,Scratch on right outside mirror housing.,3,FDPA1,CPA,"Housing, outside mirror, right",Kratzer,Scratch on right outside mirror housing.,1
RWD,Serie,24-Jun-23,Scratch on outside right B-pillar above protective strip.,3,,CPA,"B-pillar, right",Kratzer,Scratch on outside right B-pillar above protective strip.,1
RWD,Serie,22-Jun-23,Multiple scratches on front edge of right front door with corresponding scratches on right front fender.  Door scratched at lock assembly.,3,TR4ST9,CPA,"Front door, right",Kratzer,Multiple scratches on front edge of right front door with corresponding scratches on right front fender.  Door scratched at lock assembly.,1
RWD,Serie,22-Jun-23,Scratch on the exterior front right door window.,3,FDPA2,CPA,"Side window, front door, right",Kratzer,Scratch on the exterior front right door window.,1
RWD,Serie,22-Jun-23,Multiple scratches on front left seat guide rail.,3,TR4ST8,CPA,"Guide rail, front seat, left",Kratzer,Multiple scratches on front left seat guide rail.,1
RWD,Serie,22-Jun-23,Bottom of interior right side D-pillar scratched.,1,TR1ST3,CPA,D-pillar,Kratzer,Bottom of interior right side D-pillar scratched.,1
RWD,Serie,23-Jun-23,Left side D-pillar scratched in cargo area.,1,TR1ST3,CPA,D-pillar,Kratzer,Left side D-pillar scratched in cargo area.,1
RWD,Serie,26-Jun-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,26-Jun-23,Deep scratch on the right side cup holder.,3,PACST3,CPA,"Cup holder, front",Kratzer,Deep scratch on the right side cup holder.,1
RWD,Serie,26-Jun-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,26-Jun-23,Instrument panel scratched on the driver side near stowage flap.,1,PACST4,CPA,Instrument panel,Kratzer,Instrument panel scratched on the driver side near stowage flap.,1
RWD,Serie,24-Jun-23,Front inside right partition wall scratched.,1,TR3ST6,CPA,"Partition wall, cargo area",Kratzer,Front inside right partition wall scratched.,1
RWD,Serie,14-Jun-23,Protective strip on front left door scratched.,1,FDPA2,CPA,"Protective strip, front door, left",Kratzer,Protective strip on front left door scratched.,1
RWD,Serie,21-Jun-23,Multiple scratches on front left seat guide rail.,1,TR4ST8,CPA,"Guide rail, front seat, left",Kratzer,Multiple scratches on front left seat guide rail.,1
RWD,Serie,21-Jun-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,21-Jun-23,Scratch on left side of radio trim.,3,PACST4,CPA,Radio,Kratzer,Scratch on left side of radio trim.,1
RWD,Serie,16-Jun-23,Inside of sliding door is scratched in multiple spots.,3,TR3ST2,CPA,"Sliding door, right, inner",Kratzer,Inside of sliding door is scratched in multiple spots.,1
RWD,Serie,16-Jun-23,Right front door panel scratched in multiple spots.,3,FDPA3,CPA,"Door trim, front door, right",Kratzer,Right front door panel scratched in multiple spots.,1
RWD,Serie,11-Mar-23,Front inside left door panel scratched.,3,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,11-Mar-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,23-Mar-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,10-Mar-23,Multiple scratches on the rear bumper step.,1,TR4ST6,CPA,"Plastic trim, rear bumper",Kratzer,Multiple scratches on the rear bumper step.,1
RWD,Serie,10-Mar-23,Cockpit overhead console scratched.,1,TR3ST6,CPA,"Interior lamp/overhead control panel, front",Kratzer,Cockpit overhead console scratched.,1
RWD,Serie,14-Apr-23,Left rear door scratched by door handle.,3,TR1ST6,CPA,"Rear-end door, left",Kratzer,Left rear door scratched by door handle.,1
RWD,Serie,14-Apr-23,Scratch on inside right-side C- Pillar by servo cover.,3,TR2ST2,CPA,"C-pillar, right, inner",Kratzer,Scratch on inside right-side C- Pillar by servo cover.,1
RWD,Serie,3-Apr-23,Protective strip on front left door scratched.,3,FDPA2,CPA,"Protective strip, front door, left",Kratzer,Protective strip on front left door scratched.,1
RWD,Serie,3-Apr-23,Front left B-pillar scratched near fuel door.,1,CHAST8,CPA,"B-pillar, left",Kratzer,Front left B-pillar scratched near fuel door.,1
RWD,Serie,9-Mar-23,Front right B-pillar scratched near striker.,1,TR4ST9,CPA,"B-pillar, right",Kratzer,Front right B-pillar scratched near striker.,1
RWD,Serie,9-Mar-23,Front left instrument cluster scratched near housing glass.,1,PACST3,CPA,Instrument cluster,Kratzer,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,9-Mar-23,AC unit at the instrument panel scratched on left side.,1,PACST3,CPA,Instrument panel,Kratzer,AC unit at the instrument panel scratched on left side.,1
RWD,Serie,9-Mar-23,Interior high roof is scratched by the D64 partition wall.,3,OPTST1,CPA,High roof,Kratzer,Interior high roof is scratched by the D64 partition wall.,1
RWD,Serie,14-Apr-23,Multiple scratches on bench seat guide rail covers.,3,OPTST1,CPA,Seat fastening rail,Kratzer,Multiple scratches on bench seat guide rail covers.,1
RWD,Serie,3-Apr-23,Scratches on outside of sidewall at C-pillar near sliding door.,1,TR2ST1,CPA,"C-pillar, right",Kratzer,Scratches on outside of sidewall at C-pillar near sliding door.,1
RWD,Serie,3-Apr-23,Deep scratches in driveshaft.,1,MARST3,CPA,"Propeller shaft, center",Kratzer,Deep scratches in driveshaft.,1
RWD,Serie,3-Apr-23,Scratch on driver door panel.,1,FDPA3,CPA,"Trim piece, door panel, front door, left",Kratzer,Scratch on driver door panel.,1
RWD,Serie,22-Mar-23,Multiple scratches on right side seat box cover.,3,TR3ST7,CPA,"Seat frame, front seat, right",Kratzer,Multiple scratches on right side seat box cover.,1
RWD,Serie,22-Mar-23,Center of instrument panel scratched.,1,PACST3,CPA,Instrument panel,Kratzer,Center of instrument panel scratched.,1
RWD,Serie,22-Mar-23,Front left door scratched near outer door handle.,1,,CPA,"Front door, left",Kratzer,Front left door scratched near outer door handle.,1
RWD,Serie,22-Mar-23,Instrument panel scratched on left side near the kick panel.,1,PACST3,CPA,Instrument panel,Kratzer,Instrument panel scratched on left side near the kick panel.,1
RWD,Serie,22-Mar-23,Scratched interior right sidewall above the sliding door entrance.,1,TR2ST2,CPA,"Sidewall, right, inner",Kratzer,Scratched interior right sidewall above the sliding door entrance.,1
RWD,Serie,22-Mar-23,Lower inside right B-pillar trim scratched.,1,TR4ST7,CPA,"Trim, B-pillar right",Kratzer,Lower inside right B-pillar trim scratched.,1
RWD,Serie,24-Apr-23,Inner fuel door scratched at the edge.,3,TR2ST1,CPA,Fuel filler flap,Kratzer,Inner fuel door scratched at the edge.,1
RWD,Serie,13-Apr-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,13-Apr-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,13-Apr-23,Multiple scratches on the rear bumper step.,3,TR4ST6,CPA,"Plastic trim, rear bumper",Kratzer,Multiple scratches on the rear bumper step.,1
RWD,Serie,13-Apr-23,Rear door entrance scratched below rear brake light.,1,TR1ST8,CPA,Rear entrance,Kratzer,Rear door entrance scratched below rear brake light.,1
RWD,Serie,13-Apr-23,multiple scratches on rear cargo light.,1,TR3ST6,CPA,"Light source, trunk lamp/cargo area lamp",Kratzer,multiple scratches on rear cargo light.,1
RWD,Serie,13-Apr-23,Front inside left door panel scratched.,3,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,12-Apr-23,Lower left front door hinge scratched.,3,TR2ST1,CPA,"Hinge, lower, front door, left",Kratzer,Lower left front door hinge scratched.,1
RWD,Serie,31-Mar-23,Front left instrument cluster scratched near housing glass.,1,PACST3,CPA,Instrument cluster,Kratzer,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,31-Mar-23,Lower inside right B-pillar trim scratched.,1,TR4ST7,CPA,"Trim, B-pillar right",Kratzer,Lower inside right B-pillar trim scratched.,1
RWD,Serie,21-Mar-23,Front inside left door panel scratched.,1,FDPA3,CPA,"Door trim, front door, left",Kratzer,Front inside left door panel scratched.,1
RWD,Serie,21-Mar-23,Scratches on the left headlight.,3,CHAST6,CPA,Headlamp unit left,Kratzer,Scratches on the left headlight.,1
RWD,Serie,21-Apr-23,Right side window airbag cover is scratched.,1,TR3ST6,CPA,"Cover, SRS, airbag, right, headliner",Kratzer,Right side window airbag cover is scratched.,1
RWD,Serie,12-Apr-23,Scratch on sliding door entrance step.,1,TR2ST6,CPA,"Sliding door entrance, right",Kratzer,Scratch on sliding door entrance step.,1
RWD,Serie,30-Mar-23,Rear right rim scratched.,1,SLAST1,CPA,"Rear wheel, right",Kratzer,Rear right rim scratched.,1
RWD,Serie,30-Mar-23,Front left instrument cluster scratched near housing glass.,1,PACST3,CPA,Instrument cluster,Kratzer,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,21-Mar-23,Parking brake cover scratched.,1,TR3ST3,CPA,"Cover, handle, parking brake lever",Kratzer,Parking brake cover scratched.,1
RWD,Serie,21-Apr-23,Front right B-pillar scratched near striker.,3,TR3ST1,CPA,"B-pillar, right",Kratzer,Front right B-pillar scratched near striker.,1
RWD,Serie,21-Apr-23,Front left B-pillar scratched near fuel door.,3,TR4ST9,CPA,"B-pillar, left",Kratzer,Front left B-pillar scratched near fuel door.,1
RWD,Serie,21-Apr-23,Scratch on D-pillar at hole for T86 grab handle.,1,RWKST1,CPA,D-pillar,Kratzer,Scratch on D-pillar at hole for T86 grab handle.,1
RWD,Serie,30-Mar-23,Left sidewall protective strip scratched.,1,TR4ST6,CPA,"Protective strip, sidewall, left",Kratzer,Left sidewall protective strip scratched.,1
