MODEL,CONSTRUCTION_LEVEL,DATE END,REMARKS,NQ,COST CENTER,PNR,TYPE_AUDIT_DESC,PART_DESC,SFARTNR,TURN,Cluster,REMARKS_Column1_Similarity
RWD,Serie,5-Sep-23,Scratched interior right sidewall alongside the middle va panel.,3,TR3ST4,93871945,CPA,"Sidewall, right, inner",10,A,Scratched interior right sidewall alongside the middle va panel.,1
RWD,Serie,30-Aug-23,Front right door step entrance is scratched.  Also the front right door entrance step is not flush.,3,CHAST8,93865889,CPA,"Entrance, front door, right",10,A,Front right door step entrance is scratched.  Also the front right door entrance step is not flush.,1
RWD,Serie,28-Aug-23,Bottom outside right sidewall scratched.,1,,93872240,CPA,"Sidewall, right",10,C,Bottom outside right sidewall scratched.,1
RWD,Serie,28-Aug-23,Front of left seat box scratched.,3,TR4ST8,93872380,CPA,"Seat base, front seat, left",10,,Front of left seat box scratched.,1
RWD,Serie,26-Aug-23,Rear right rim scratched.,1,SLAST1,93864544,CPA,"Disk wheel, steel, rear, right",10,A,Rear right rim scratched.,1
RWD,Serie,18-Aug-23,Interior dome light has multiple scratches.,3,TR3ST6,93851913,CPA,Dome lamp,10,C,Interior dome light has multiple scratches.,1
RWD,Serie,17-Aug-23,Left side B-pillar scratched near abutting wedge.,3,TR4ST9,93847721,CPA,"B-pillar, left",10,C,Left side B-pillar scratched near abutting wedge.,1
RWD,Serie,17-Aug-23,Front inside left door panel scratched.,1,FDPA3,93847721,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,17-Aug-23,Front inside right door is scratched at the bottom.,1,TR4ST9,93841732,CPA,"Front door, right",10,C,Front inside right door is scratched at the bottom.,1
RWD,Serie,17-Aug-23,Right side C-pillar scratched above sliding door striker.,3,SLAST5,93852408,CPA,"C-pillar, right",10,A,Right side C-pillar scratched above sliding door striker.,1
RWD,Serie,17-Aug-23,Left side of instrument panel scratched below steering wheel.,3,PACST3,93852408,CPA,Instrument panel,10,A,Left side of instrument panel scratched below steering wheel.,1
RWD,Serie,16-Aug-23,Cargo floor scratched by partition wall on left side.,1,TR1ST3,93848703,CPA,Cargo area floor,10,,Cargo floor scratched by partition wall on left side.,1
RWD,Serie,16-Aug-23,Right rear wheel scratched.,1,SLAST1,93848703,CPA,"Rear wheel, right",10,,Right rear wheel scratched.,1
RWD,Serie,17-Aug-23,Radio trim scratched on upper right corner.,1,PACST4,93852408,CPA,"Front plate, radio sets",10,A,Radio trim scratched on upper right corner.,1
RWD,Serie,17-Aug-23,Scratch on hand brake lever.,1,TR3ST3,93832335,CPA,"Cover, hand brake lever",10,C,Scratch on hand brake lever.,1
RWD,Serie,22-Aug-23,Right sidewall scratched at bottom of C-pillar.,3,,93855633,CPA,"Sidewall, right",10,,Right sidewall scratched at bottom of C-pillar.,1
RWD,Serie,22-Aug-23,Front of left seat box scratched.,1,TR2ST4,93855633,CPA,"Seat base, front seat, left",10,,Front of left seat box scratched.,1
RWD,Serie,21-Aug-23,Right side lower interior rear D-pillar is scratched.,3,TR1ST3,93850428,CPA,D-pillar,10,B,Right side lower interior rear D-pillar is scratched.,1
RWD,Serie,18-Aug-23,Scratch on air filter box.,1,SLAST5,93850436,CPA,"Holder, air filter",10,C,Scratch on air filter box.,1
RWD,Serie,18-Aug-23,Scratch on left D-pillar near upper door hinge.,3,FINST1,93850436,CPA,D-pillar,10,C,Scratch on left D-pillar near upper door hinge.,1
RWD,Serie,10-Aug-23,Top of front left seat base scratched.,1,TR4ST8,93842904,CPA,"Seat base, front seat, left",10,,Top of front left seat base scratched.,1
RWD,Serie,10-Aug-23,Right side front seat trim is scratched on the right side.,1,TR4ST8,93842904,CPA,"Front seat, right",10,,Right side front seat trim is scratched on the right side.,1
RWD,Serie,9-Aug-23,Bottom of inner left sidewall panel scratched.,1,TR3ST1,93828416,CPA,"Panel, sidewall, left",10,B,Bottom of inner left sidewall panel scratched.,1
RWD,Serie,16-Aug-23,Long scratch on left side of steering column cover.,3,TR4ST9,93845782,CPA,Instrument panel,10,C,Long scratch on left side of steering column cover.,1
RWD,Serie,16-Aug-23,Fuse box cover on front right seat box scratched.,3,TR3ST7,93845782,CPA,"Cover, fuse box",10,C,Fuse box cover on front right seat box scratched.,1
RWD,Serie,15-Aug-23,E-brake cover is scratched at the top.,1,TR3ST3,93848646,CPA,"Cover, actuator, parking brake",10,C,E-brake cover is scratched at the top.,1
RWD,Serie,14-Aug-23,Bottom of inner left sidewall panel scratched.,1,TR3ST4,93852515,CPA,"Panel, sidewall, left",10,,Bottom of inner left sidewall panel scratched.,1
RWD,Serie,14-Aug-23,Front right instrument panel has a deep scratch near the glove box.,3,PACST3,93826170,CPA,Instrument panel,10,A,Front right instrument panel has a deep scratch near the glove box.,1
RWD,Serie,14-Aug-23,Long scratch on front inside right door panel.,3,FDPA3,93840445,CPA,"Door trim, front door, right",10,B,Long scratch on front inside right door panel.,1
RWD,Serie,10-Aug-23,Left side of rear bumper step scratched.,1,TR4ST6,93842904,CPA,"Plastic trim, rear bumper",10,,Left side of rear bumper step scratched.,1
RWD,Serie,7-Aug-23,Center of outer left B-pillar scratched.,1,,93832772,CPA,"B-pillar, left",10,C,Center of outer left B-pillar scratched.,1
RWD,Serie,7-Aug-23,Front inside left door panel scratched.,1,FDPA3,93832772,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,7-Aug-23,Scratches on firewall near right windshield wiper.,3,TR4ST3,93824696,CPA,Firewall,10,C,Scratches on firewall near right windshield wiper.,1
RWD,Serie,4-Aug-23,E-brake cover is scratched at the top.,1,TR3ST3,93823896,CPA,"Cover, actuator, parking brake",10,C,E-brake cover is scratched at the top.,1
RWD,Serie,4-Aug-23,Instrument panel scratched on left side above outer left air vent.,3,PACST2,93828358,CPA,Instrument panel,10,,Instrument panel scratched on left side above outer left air vent.,1
RWD,Serie,9-Aug-23,Top of front left seat base scratched.,1,TR4ST8,93841369,CPA,"Seat base, front seat, left",10,,Top of front left seat base scratched.,1
RWD,Serie,9-Aug-23,Left side of rear bumper step scratched.,1,TR4ST6,93841369,CPA,"Plastic trim, rear bumper",10,,Left side of rear bumper step scratched.,1
RWD,Serie,8-Aug-23,Front left instrument cluster scratched near housing glass.,1,PACST3,93819985,CPA,Instrument cluster,10,B,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,31-Jul-23,Instrument cluster scratched near steering wheel.,1,PACST2,93817054,CPA,Instrument cluster,10,A,Instrument cluster scratched near steering wheel.,1
RWD,Serie,31-Jul-23,Left sidewall protective strip scratched.,1,TR4ST6,93817054,CPA,"Protective strip, sidewall, left",10,A,Left sidewall protective strip scratched.,1
RWD,Serie,4-Aug-23,Top of front left seat base scratched.,1,TR4ST8,93832392,CPA,"Seat base, front seat, left",10,C,Top of front left seat base scratched.,1
RWD,Serie,4-Aug-23,Front inside left door panel scratched.,1,FDPA3,93832392,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,4-Aug-23,Top of front left seat base scratched.,1,TR4ST8,93824290,CPA,"Seat base, front seat, left",10,,Top of front left seat base scratched.,1
RWD,Serie,4-Aug-23,Bottom of inside left rear door scratched near lower door lock screws.,3,TR1ST6,93824290,CPA,"Rear-end door, left, inside",10,,Bottom of inside left rear door scratched near lower door lock screws.,1
RWD,Serie,3-Aug-23,Scratch on passenger side door panel.,1,FDPA3,93822856,CPA,"Trim piece, door panel, front door, right",10,C,Scratch on passenger side door panel.,1
RWD,Serie,3-Aug-23,Scratches on the right side cargo area floor.,1,TR1ST3,93830875,CPA,Cargo area floor,10,,Scratches on the right side cargo area floor.,1
RWD,Serie,3-Aug-23,Front inside left door panel scratched.,1,FDPA3,93833911,CPA,"Door trim, front door, left",10,,Front inside left door panel scratched.,1
RWD,Serie,3-Aug-23,Lower left front door hinge scratched.,1,TR4ST9,93833911,CPA,"Paint, hinge, lower, front door, left",10,,Lower left front door hinge scratched.,1
RWD,Serie,2-Aug-23,Front of left side mirror scratched.,1,FDPA1,93824357,CPA,"Outside mirror, left",10,C,Front of left side mirror scratched.,1
RWD,Serie,2-Aug-23,Front right B-pillar scratched near striker.,3,TR4ST8,93817492,CPA,"B-pillar, right",10,C,Front right B-pillar scratched near striker.,1
RWD,Serie,1-Aug-23,"Front upper part of the headliner, the single size slot mounting frame panel is scratched.",1,TR3ST6,93835049,CPA,"Stowage compartment, headliner",10,C,"Front upper part of the headliner, the single size slot mounting frame panel is scratched.",1
RWD,Serie,1-Aug-23,Front inside left door panel scratched.,1,FDPA3,93826808,CPA,"Door trim, front door, left",10,,Front inside left door panel scratched.,1
RWD,Serie,26-Jul-23,Scratch on left side of radio trim.,1,PACST4,93823367,CPA,Radio,10,B,Scratch on left side of radio trim.,1
RWD,Serie,26-Jul-23,Deep scratch on front right door protective strip.,3,FDPA2,93823367,CPA,"Protective strip, front door, right",10,B,Deep scratch on front right door protective strip.,1
RWD,Serie,26-Jul-23,Scratches on the back side of sliding door.,1,TR3ST2,93823367,CPA,"Sliding door, right",10,B,Scratches on the back side of sliding door.,1
RWD,Serie,26-Jul-23,Front left swivel seat lever scratched.,1,TR4ST8,93820223,CPA,"Front seat, left",10,,Front left swivel seat lever scratched.,1
RWD,Serie,26-Jul-23,Scratches on the rear left taillight.,1,TR3ST4,93831337,CPA,Taillamp left,10,,Scratches on the rear left taillight.,1
RWD,Serie,18-Jul-23,Scratches on front left side mirror housing.,3,FDPA1,93812949,CPA,"Housing, outside mirror, left",10,B,Scratches on front left side mirror housing.,1
RWD,Serie,18-Jul-23,Scratches on front left side mirror housing.,3,FDPA1,93812865,CPA,"Housing, outside mirror, left",10,C,Scratches on front left side mirror housing.,1
RWD,Serie,25-Jul-23,Protective strip on front left door scratched.,1,FDPA2,93815538,CPA,"Protective strip, front door, left",10,,Protective strip on front left door scratched.,1
RWD,Serie,24-Jul-23,Front inside left door panel scratched.,1,FDPA3,93816163,CPA,"Door trim, front door, left",10,,Front inside left door panel scratched.,1
RWD,Serie,20-Jul-23,Front inside left door panel scratched.,1,FDPA3,93816759,CPA,"Door trim, front door, left",10,,Front inside left door panel scratched.,1
RWD,Serie,19-Jul-23,Scratch on left side of radiator grill.,3,CHAST6,93824779,CPA,Radiator grille,10,C,Scratch on left side of radiator grill.,1
RWD,Serie,19-Jul-23,Inner frame of front right door scratched by window seal.,3,FDPA1,93824779,CPA,"Front door, right, inside",10,C,Inner frame of front right door scratched by window seal.,1
RWD,Serie,19-Jul-23,Front inside left door panel scratched.,1,FDPA3,93815975,CPA,"Door trim, front door, left",10,,Front inside left door panel scratched.,1
RWD,Serie,18-Jul-23,Right side window airbag cover is scratched.,3,TR3ST6,93812949,CPA,"Side airbag, front right",10,B,Right side window airbag cover is scratched.,1
RWD,Serie,12-Jul-23,Interior roof AC trim panel is scratched.,1,OPTST1,93797678,CPA,High roof,10,C,Interior roof AC trim panel is scratched.,1
RWD,Serie,12-Jul-23,Scratches on the rear left taillight.,3,TR3ST4,93797678,CPA,Taillamp left,10,C,Scratches on the rear left taillight.,1
RWD,Serie,17-Jul-23,Left  side D-Pillar trim scratched on the lower section.,1,TR4ST7,93802940,CPA,"Trim, D-pillar",10,,Left  side D-Pillar trim scratched on the lower section.,1
RWD,Serie,17-Jul-23,Scratch on protective strip at front right wheel well arch.,1,TR2ST3,93802940,CPA,"Protective strip, wheel arch, front, right",10,,Scratch on protective strip at front right wheel well arch.,1
RWD,Serie,14-Jul-23,Scratch on inside of passenger door.,3,TR4ST9,93802882,CPA,"Front door, right",10,A,Scratch on inside of passenger door.,1
RWD,Serie,27-Jun-23,Front inside left door panel scratched.,3,FDPA3,93803542,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,12-Jul-23,Scratch on right outside mirror housing.,1,FDPA1,93801371,CPA,"Housing, outside mirror, right",10,,Scratch on right outside mirror housing.,1
RWD,Serie,11-Jul-23,Scratch on upper driver door hinge.,1,TR4ST9,93792190,CPA,"Hinge, upper, front door, left",10,A,Scratch on upper driver door hinge.,1
RWD,Serie,11-Jul-23,Right side front seat trim is scratched on the right side.,1,TR3ST6,93805273,CPA,"Front seat, right",10,A,Right side front seat trim is scratched on the right side.,1
RWD,Serie,11-Jul-23,Scratch on hand brake lever.,1,TR3ST3,93805273,CPA,"Cover, hand brake lever",10,A,Scratch on hand brake lever.,1
RWD,Serie,30-Jun-23,Bottom of interior right side D-pillar scratched.,3,TR1ST3,93800894,CPA,D-pillar,10,C,Bottom of interior right side D-pillar scratched.,1
RWD,Serie,28-Jun-23,Front inside left door panel scratched.,1,FDPA3,93801538,CPA,"Door trim, front door, left",10,A,Front inside left door panel scratched.,1
RWD,Serie,28-Jun-23,Left side of rear bumper step scratched.,1,TR4ST6,93801785,CPA,"Plastic trim, rear bumper",10,B,Left side of rear bumper step scratched.,1
RWD,Serie,28-Jun-23,Scratch on right outside mirror housing.,3,FDPA1,93801785,CPA,"Housing, outside mirror, right",10,B,Scratch on right outside mirror housing.,1
RWD,Serie,28-Jun-23,Front right window airbag trim is scratched.,1,TR3ST6,93809705,CPA,"Trim, A-pillar right",10,C,Front right window airbag trim is scratched.,1
RWD,Serie,27-Jun-23,Left front door scratched below near triangle window.,3,FDPA1,93811586,CPA,"Front door, left",10,,Left front door scratched below near triangle window.,1
RWD,Serie,24-Jun-23,Scratch on left side of radio trim.,1,PACST4,93781557,CPA,Radio,10,B,Scratch on left side of radio trim.,1
RWD,Serie,24-Jun-23,Scratch on right outside mirror housing.,3,FDPA1,93781557,CPA,"Housing, outside mirror, right",10,B,Scratch on right outside mirror housing.,1
RWD,Serie,24-Jun-23,Scratch on outside right B-pillar above protective strip.,3,,93779437,CPA,"B-pillar, right",10,A,Scratch on outside right B-pillar above protective strip.,1
RWD,Serie,22-Jun-23,Multiple scratches on front edge of right front door with corresponding scratches on right front fender.  Door scratched at lock assembly.,3,TR4ST9,93781177,CPA,"Front door, right",10,C,Multiple scratches on front edge of right front door with corresponding scratches on right front fender.  Door scratched at lock assembly.,1
RWD,Serie,22-Jun-23,Scratch on the exterior front right door window.,3,FDPA2,93781177,CPA,"Side window, front door, right",10,C,Scratch on the exterior front right door window.,1
RWD,Serie,22-Jun-23,Multiple scratches on front left seat guide rail.,3,TR4ST8,93781177,CPA,"Guide rail, front seat, left",10,C,Multiple scratches on front left seat guide rail.,1
RWD,Serie,22-Jun-23,Bottom of interior right side D-pillar scratched.,1,TR1ST3,93786499,CPA,D-pillar,10,B,Bottom of interior right side D-pillar scratched.,1
RWD,Serie,23-Jun-23,Left side D-pillar scratched in cargo area.,1,TR1ST3,93786697,CPA,D-pillar,10,B,Left side D-pillar scratched in cargo area.,1
RWD,Serie,26-Jun-23,Front inside left door panel scratched.,1,FDPA3,93799765,CPA,"Door trim, front door, left",10,A,Front inside left door panel scratched.,1
RWD,Serie,26-Jun-23,Deep scratch on the right side cup holder.,3,PACST3,93799765,CPA,"Cup holder, front",10,A,Deep scratch on the right side cup holder.,1
RWD,Serie,26-Jun-23,Front inside left door panel scratched.,1,FDPA3,93780211,CPA,"Door trim, front door, left",10,,Front inside left door panel scratched.,1
RWD,Serie,26-Jun-23,Instrument panel scratched on the driver side near stowage flap.,1,PACST4,93780211,CPA,Instrument panel,10,,Instrument panel scratched on the driver side near stowage flap.,1
RWD,Serie,24-Jun-23,Front inside right partition wall scratched.,1,TR3ST6,93781557,CPA,"Partition wall, cargo area",10,B,Front inside right partition wall scratched.,1
RWD,Serie,14-Jun-23,Protective strip on front left door scratched.,1,FDPA2,93787299,CPA,"Protective strip, front door, left",10,A,Protective strip on front left door scratched.,1
RWD,Serie,21-Jun-23,Multiple scratches on front left seat guide rail.,1,TR4ST8,93783082,CPA,"Guide rail, front seat, left",10,C,Multiple scratches on front left seat guide rail.,1
RWD,Serie,21-Jun-23,Front inside left door panel scratched.,1,FDPA3,93789089,CPA,"Door trim, front door, left",10,A,Front inside left door panel scratched.,1
RWD,Serie,21-Jun-23,Scratch on left side of radio trim.,3,PACST4,93789089,CPA,Radio,10,A,Scratch on left side of radio trim.,1
RWD,Serie,16-Jun-23,Inside of sliding door is scratched in multiple spots.,3,TR3ST2,93778892,CPA,"Sliding door, right, inner",10,A,Inside of sliding door is scratched in multiple spots.,1
RWD,Serie,16-Jun-23,Right front door panel scratched in multiple spots.,3,FDPA3,93778892,CPA,"Door trim, front door, right",10,A,Right front door panel scratched in multiple spots.,1
RWD,Serie,11-Mar-23,Front inside left door panel scratched.,3,FDPA3,93670768,CPA,"Door trim, front door, left",10,B,Front inside left door panel scratched.,1
RWD,Serie,11-Mar-23,Front inside left door panel scratched.,1,FDPA3,93667681,CPA,"Door trim, front door, left",10,A,Front inside left door panel scratched.,1
RWD,Serie,23-Mar-23,Front inside left door panel scratched.,1,FDPA3,93685790,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,10-Mar-23,Multiple scratches on the rear bumper step.,1,TR4ST6,93668903,CPA,"Plastic trim, rear bumper",10,,Multiple scratches on the rear bumper step.,1
RWD,Serie,10-Mar-23,Cockpit overhead console scratched.,1,TR3ST6,93668788,CPA,"Interior lamp/overhead control panel, front",10,A,Cockpit overhead console scratched.,1
RWD,Serie,14-Apr-23,Left rear door scratched by door handle.,3,TR1ST6,93705820,CPA,"Rear-end door, left",10,B,Left rear door scratched by door handle.,1
RWD,Serie,14-Apr-23,Scratch on inside right-side C- Pillar by servo cover.,3,TR2ST2,93705820,CPA,"C-pillar, right, inner",10,B,Scratch on inside right-side C- Pillar by servo cover.,1
RWD,Serie,3-Apr-23,Protective strip on front left door scratched.,3,FDPA2,93699288,CPA,"Protective strip, front door, left",10,C,Protective strip on front left door scratched.,1
RWD,Serie,3-Apr-23,Front left B-pillar scratched near fuel door.,1,CHAST8,93694479,CPA,"B-pillar, left",10,,Front left B-pillar scratched near fuel door.,1
RWD,Serie,9-Mar-23,Front right B-pillar scratched near striker.,1,TR4ST9,93667384,CPA,"B-pillar, right",10,C,Front right B-pillar scratched near striker.,1
RWD,Serie,9-Mar-23,Front left instrument cluster scratched near housing glass.,1,PACST3,93680098,CPA,Instrument cluster,10,A,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,9-Mar-23,AC unit at the instrument panel scratched on left side.,1,PACST3,93680098,CPA,Instrument panel,10,A,AC unit at the instrument panel scratched on left side.,1
RWD,Serie,9-Mar-23,Interior high roof is scratched by the D64 partition wall.,3,OPTST1,93680098,CPA,High roof,10,A,Interior high roof is scratched by the D64 partition wall.,1
RWD,Serie,14-Apr-23,Multiple scratches on bench seat guide rail covers.,3,OPTST1,93689610,CPA,Seat fastening rail,10,,Multiple scratches on bench seat guide rail covers.,1
RWD,Serie,3-Apr-23,Scratches on outside of sidewall at C-pillar near sliding door.,1,TR2ST1,93647584,CPA,"C-pillar, right",10,C,Scratches on outside of sidewall at C-pillar near sliding door.,1
RWD,Serie,3-Apr-23,Deep scratches in driveshaft.,1,MARST3,93647584,CPA,"Propeller shaft, center",10,C,Deep scratches in driveshaft.,1
RWD,Serie,3-Apr-23,Scratch on driver door panel.,1,FDPA3,93647584,CPA,"Trim piece, door panel, front door, left",10,C,Scratch on driver door panel.,1
RWD,Serie,22-Mar-23,Multiple scratches on right side seat box cover.,3,TR3ST7,93684074,CPA,"Seat frame, front seat, right",10,C,Multiple scratches on right side seat box cover.,1
RWD,Serie,22-Mar-23,Center of instrument panel scratched.,1,PACST3,93684074,CPA,Instrument panel,10,C,Center of instrument panel scratched.,1
RWD,Serie,22-Mar-23,Front left door scratched near outer door handle.,1,,93684074,CPA,"Front door, left",10,C,Front left door scratched near outer door handle.,1
RWD,Serie,22-Mar-23,Instrument panel scratched on left side near the kick panel.,1,PACST3,93682490,CPA,Instrument panel,10,B,Instrument panel scratched on left side near the kick panel.,1
RWD,Serie,22-Mar-23,Scratched interior right sidewall above the sliding door entrance.,1,TR2ST2,93682490,CPA,"Sidewall, right, inner",10,B,Scratched interior right sidewall above the sliding door entrance.,1
RWD,Serie,22-Mar-23,Lower inside right B-pillar trim scratched.,1,TR4ST7,93682490,CPA,"Trim, B-pillar right",10,B,Lower inside right B-pillar trim scratched.,1
RWD,Serie,24-Apr-23,Inner fuel door scratched at the edge.,3,TR2ST1,93717809,CPA,Fuel filler flap,10,,Inner fuel door scratched at the edge.,1
RWD,Serie,13-Apr-23,Front inside left door panel scratched.,1,FDPA3,93705739,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,13-Apr-23,Front inside left door panel scratched.,1,FDPA3,93686673,CPA,"Door trim, front door, left",10,A,Front inside left door panel scratched.,1
RWD,Serie,13-Apr-23,Multiple scratches on the rear bumper step.,3,TR4ST6,93686673,CPA,"Plastic trim, rear bumper",10,A,Multiple scratches on the rear bumper step.,1
RWD,Serie,13-Apr-23,Rear door entrance scratched below rear brake light.,1,TR1ST8,93686673,CPA,Rear entrance,10,A,Rear door entrance scratched below rear brake light.,1
RWD,Serie,13-Apr-23,multiple scratches on rear cargo light.,1,TR3ST6,93706034,CPA,"Light source, trunk lamp/cargo area lamp",10,A,multiple scratches on rear cargo light.,1
RWD,Serie,13-Apr-23,Front inside left door panel scratched.,3,FDPA3,93706034,CPA,"Door trim, front door, left",10,A,Front inside left door panel scratched.,1
RWD,Serie,12-Apr-23,Lower left front door hinge scratched.,3,TR2ST1,93704021,CPA,"Hinge, lower, front door, left",10,A,Lower left front door hinge scratched.,1
RWD,Serie,31-Mar-23,Front left instrument cluster scratched near housing glass.,1,PACST3,93693919,CPA,Instrument cluster,10,C,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,31-Mar-23,Lower inside right B-pillar trim scratched.,1,TR4ST7,93693919,CPA,"Trim, B-pillar right",10,C,Lower inside right B-pillar trim scratched.,1
RWD,Serie,21-Mar-23,Front inside left door panel scratched.,1,FDPA3,93683183,CPA,"Door trim, front door, left",10,C,Front inside left door panel scratched.,1
RWD,Serie,21-Mar-23,Scratches on the left headlight.,3,CHAST6,93683266,CPA,Headlamp unit left,10,A,Scratches on the left headlight.,1
RWD,Serie,21-Apr-23,Right side window airbag cover is scratched.,1,TR3ST6,93707404,CPA,"Cover, SRS, airbag, right, headliner",10,,Right side window airbag cover is scratched.,1
RWD,Serie,12-Apr-23,Scratch on sliding door entrance step.,1,TR2ST6,93701761,CPA,"Sliding door entrance, right",10,A,Scratch on sliding door entrance step.,1
RWD,Serie,30-Mar-23,Rear right rim scratched.,1,SLAST1,93690717,CPA,"Rear wheel, right",10,C,Rear right rim scratched.,1
RWD,Serie,30-Mar-23,Front left instrument cluster scratched near housing glass.,1,PACST3,93690717,CPA,Instrument cluster,10,C,Front left instrument cluster scratched near housing glass.,1
RWD,Serie,21-Mar-23,Parking brake cover scratched.,1,TR3ST3,93684280,CPA,"Cover, handle, parking brake lever",10,C,Parking brake cover scratched.,1
RWD,Serie,21-Apr-23,Front right B-pillar scratched near striker.,3,TR3ST1,93715837,CPA,"B-pillar, right",10,B,Front right B-pillar scratched near striker.,1
